Type,Point,Salary
President,1,240716
Vice President,1,184171
Full Professor,1,140068
Full Professor,2,148055
Full Professor,3,156042
Full Professor,4,164028
Full Professor,5,172016
Full Professor,6,177078
Professor,1,101447
Professor,2,108276
Professor,3,115107
Professor,4,121935
Professor,5,128770
Professor,6,135598
Associate Professor A,1,87548
Associate Professor A,2,91018
Associate Professor A,3,94492
Associate Professor A,4,97988
Associate Professor A,5,101461
Associate Professor A,6,104948
Associate Professor A,7,108430
Associate Professor A,8,111916
Associate Professor A,9,115395
Associate Professor B,1,62069
Associate Professor B,2,73093
Associate Professor B,3,77006
Associate Professor B,4,79703
Associate Professor B,5,83634
Associate Professor B,6,87604
Associate Professor B,7,91563
Associate Professor B,8,95514
Associate Professor B,9,99471
Assistant Professor,1,46955
Assistant Professor,2,49543
Assistant Professor,3,51676
Assistant Professor,4,53644
Assistant Professor,5,55689
Assistant Professor,6,57323
Assistant Professor,7,58990
Assistant Professor,8,60654
Assistant Professor,9,62314
Assistant Professor,10,63965
Teaching Assistant,1,37010
Teaching Assistant,2,40061
Senior Administrative Officer III,1,106800
Senior Administrative Officer III,2,113990
Senior Administrative Officer III,3,121181
Senior Administrative Officer III,4,128369
Senior Administrative Officer III,5,135565
Senior Administrative Officer III,6,142758
Senior Administrative Officer II,1,94941
Senior Administrative Officer II,2,98703
Senior Administrative Officer II,3,102487
Senior Administrative Officer II,4,106270
Senior Administrative Officer II,5,110030
Senior Administrative Officer II,6,113810
Senior Administrative Officer II,7,117589
Senior Administrative Officer II,8,121368
Senior Administrative Officer II,9,125140
Senior Administrative Officer I,1,67132
Senior Administrative Officer I,2,69712
Senior Administrative Officer I,3,72480
Senior Administrative Officer I,4,75725
Senior Administrative Officer I,5,79088
Senior Administrative Officer I,6,82103
Senior Administrative Officer I,7,86389
Senior Administrative Officer I,8,90697
Senior Administrative Officer I,9,95004
Senior Administrative Officer I,10,99296
Senior Administrative Officer I,11,103583
Senior Administrative Officer I,12,107875
Senior Executive Administrator,1,58657
Senior Executive Administrator,2,60174
Senior Executive Administrator,3,61704
Senior Executive Administrator,4,63240
Senior Executive Administrator,5,64776
Senior Executive Administrator,6,66317
Senior Executive Administrator,7,68510
Senior Executive Administrator,8,72779
Senior Executive Administrator,9,77291
Senior Executive Administrator,10,79691
Senior Executive Administrator,11,83397
Executive Administrator,1,44752
Executive Administrator,2,47050
Executive Administrator,3,49360
Executive Administrator,4,51268
Executive Administrator,5,53218
Executive Administrator,6,55306
Executive Administrator,7,57462
Executive Administrator,8,59557
Executive Administrator,9,61263
Executive Administrator,10,62840
Executive Administrator,11,64409
Senior Administrator,1,39893
Senior Administrator,2,40785
Senior Administrator,3,42037
Senior Administrator,4,43282
Senior Administrator,5,44546
Senior Administrator,6,45799
Senior Administrator,7,47069
Senior Administrator,8,48336
Senior Administrator,9,49613
Senior Administrator,10,50660
Senior Administrator,11,51944
Senior Administrator,12,53265
Administrator,1,26572
Administrator,2,27495
Administrator,3,28629
Administrator,4,29397
Administrator,5,30060
Administrator,6,30830
Administrator,7,31616
Administrator,8,32491
Administrator,9,33224
Administrator,10,34378
Administrator,11,35541
Administrator,12,36715
Administrator,13,37403
Administrator,14,38396
Administrator,15,39212
Administrator,16,39926
Administrator,17,40912
Administrator,18,41892
EPS Portfolio Manager,1,86389
EPS Portfolio Manager,2,90698
EPS Portfolio Manager,3,95005
EPS Portfolio Manager,4,99296
EPS Portfolio Manager,5,103583
EPS Portfolio Manager,6,107874
EPS Category Manager,1,67131
EPS Category Manager,2,69712
EPS Category Manager,3,72480
EPS Category Manager,4,75725
EPS Category Manager,5,79087
EPS Category Manager,6,82103
EPS Category Manager,7,86389
EPS Category Manager,8,90698
EPS Category Specialist Higher,1,58656
EPS Category Specialist Higher,2,60174
EPS Category Specialist Higher,3,61704
EPS Category Specialist Higher,4,63240
EPS Category Specialist Higher,5,64775
EPS Category Specialist Higher,6,66318
EPS Category Specialist Higher,7,68510
EPS Category Specialist Higher,8,72779
EPS Category Specialist,1,44752
EPS Category Specialist,2,47047
EPS Category Specialist,3,49360
EPS Category Specialist,4,51269
EPS Category Specialist,5,53219
EPS Category Specialist,6,55306
EPS Category Specialist,7,57462
EPS Category Specialist,8,59558
Library Sub Librarian,1,64830
Library Sub Librarian,2,68413
Library Sub Librarian,3,71505
Library Sub Librarian,4,74734
Library Sub Librarian,5,77824
Library Sub Librarian,6,80106
Library Sub Librarian,7,83065
Library Sub Librarian,8,86613
Library Sub Librarian,9,90308
Library Sub Librarian,10,93715
Library Sub Librarian,11,97127
Library Sub Librarian,12,100531
Library Sub Librarian,13,102234
Library Sub Librarian,14,104052
Library Sub Librarian,15,106850
Assistant Librarian 2,1,58657
Assistant Librarian 2,2,60174
Assistant Librarian 2,3,61704
Assistant Librarian 2,4,63240
Assistant Librarian 2,5,64776
Assistant Librarian 2,6,66317
Assistant Librarian 2,7,68510
Assistant Librarian 2,8,72779
Assistant Librarian 2,9,77291
Assistant Librarian 2,10,79691
Assistant Librarian 2,11,83397
Assistant Librarian 1,1,44751
Assistant Librarian 1,2,47050
Assistant Librarian 1,3,49364
Assistant Librarian 1,4,51269
Assistant Librarian 1,5,53605
Assistant Librarian 1,6,55126
Assistant Librarian 1,7,56632
Assistant Librarian 1,8,57745
Assistant Librarian 1,9,59104
Assistant Librarian 1,10,60468
Assistant Librarian 1,11,61415
Assistant Librarian 1,12,62371
Assistant Librarian 1,13,64409
Assistant Librarian 1,14,66805
Assistant Librarian 1,15,69293
Senior Library Assistant,1,39337
Senior Library Assistant,2,39808
Senior Library Assistant,3,40882
Senior Library Assistant,4,41881
Senior Library Assistant,5,42439
Senior Library Assistant,6,44325
Senior Library Assistant,7,45156
Senior Library Assistant,8,46242
Senior Library Assistant,9,47587
